Id,DisplayName,Views,DownVotes,LastAccessDate,ProfileImageUrl,WebsiteUrl,Reputation,Location,Age,UpVotes,CreationDate,AboutMe,AccountId
10,Nicolas Chabanovsky,9,0,2016-06-22T09:03:31.480,,http://ru.stackoverflow.com,101,Санкт-Петербург,28,0,2015-10-27T13:14:22.440,"<p>Искренне верю в будущее <a href=""http://ru.stackoverflow.com/"">сообщества разработчиков программного обеспечения на русском языке</a>. В свободное от модерирования сообщества время работаю в <a href=""http://stackexchange.com/about/team#Community"">Stack Overflow</a>.</p><br/><br/><p>Если вы хотите сказать мне что-то:</p><br/><br/><p>VK: <code>http://vk.com/nicolas.chabanovsky</code><br><br/>Skype: <code>nicolas.chabanovsky</code><br><br/>Почта: <code>nicolas.chabanovsky@(stackoverflow|gmail).com</code></p><br/><br/><p>Если совсем срочно, можно и по телефону: <code>+7 951 678 10 31</code>.</p><br/><br/><p><a href=""http://careers.stackoverflow.com/chabanovsky"">Мое резюме</a>.</p><br/>",272910
11,hairboat,6,0,2016-06-17T19:46:19.410,https://i.stack.imgur.com/AxwMh.jpg?s=128&g=1,,101,"Denver, CO, United States",28,0,2015-10-27T14:56:08.217,"<p>I work for our Stack Exchange overlords on the Community Growth team. If you'd like to tell me what you had for lunch, you can email me at abby@stackoverflow.com. </p><br/><br/><p><a href=""http://i.stack.imgur.com/M6Utb.png"" rel=""nofollow""><img src=""http://i.stack.imgur.com/M6Utb.png"" alt=""enter image description here""></a></p><br/><br/><p><a href=""http://stackexchange.com/users/dcdecb98f43a4398abc35095d7882464""><br/><img src=""http://stackexchange.com/users/flair/dcdecb98f43a4398abc35095d7882464.png"" width=""208"" height=""58"" alt=""profile for Abby T. Miller on Stack Exchange, a network of free, community-driven Q&A sites"" title=""profile for Abby T. Miller on Stack Exchange, a network of free, community-driven Q&A sites""><br/></a></p><br/>",463168
12,animuson,4,0,2016-05-24T20:31:36.503,,http://animuson.me,101,"Chalco, NE, United States",25,0,2015-10-27T14:56:14.543,<br/><br/><p>I work for Stack Overflow as a<br><br/>Community Growth Operations Specialist.</p><br/>,89201
13,JNat,4,0,2016-03-17T17:50:34.073,,http://anime.stackexchange.com/users/49/jnat,101,Europe,96,0,2015-10-27T14:56:34.793,"<p>I was appointed ♦ Moderator Pro Tempore on <a href=""http://anime.stackexchange.com/"">Anime and Manga SE</a>, and served my time from January 2013 to March 2015.<br><br/><strong><a href=""http://blog.stackoverflow.com/2015/04/jnat-and-animuson-workin-on-ur-problemz/"">I am currently an employee for Stack Overflow!</a></strong>  </p><br/><br/><p>If there's anything you think I could help you with, you can reach me via the ""contact us"" link at the bottom of every page<sup><sub><sup>1</sup></sub></sup>, or at stackoverflow.com: jnat@...<sup><sub><sup>2</sup></sub></sup></p><br/><br/><p><sup><sub><sup>1</sup></sub></sup> <sub><sup>there's about a 50% chance I'll be the one to see your message there</sub></sup><br><br/><sup><sub><sup>2</sup></sub></sup> <sub><sup>if you <em>really</em> want to make sure I'll be the one to see it</sub></sup></p><br/><br/><br/>",1399708
14,jmac,7,0,2016-06-15T07:51:05.697,https://i.stack.imgur.com/4FQgI.png?s=128&g=1,,101,Japan,,0,2015-10-27T14:56:58.413,<p>Community Manager for Stack Exchange since July 2014.</p><br/>,2184621
15,Jaydles,6,0,2016-02-05T15:20:45.457,https://i.stack.imgur.com/BT5ZS.png?s=128&g=1,https://blog.stackexchange.com/authors/jhanlon/,101,"New York, NY",41,1,2015-10-27T14:57:11.433,"<p>I am:  </p><br/><br/><ul><br/><li><strong><a href=""http://imgur.com/9k3OF"" rel=""nofollow"">Griffin</a> and <a href=""http://i.imgur.com/7ukhBjd.jpg"" rel=""nofollow"">Maeve's</a> dad.</strong></li><br/><li><strong>Not tall.</strong>  </li><br/><li>Pretty much always <em>trying</em> to be helpful.  If I'm not <em>succeeding</em>, just let me know.  (Okay, so maybe I wasn't trying that hard in <a href=""http://meta.stackexchange.com/questions/46433/france-is-not-within-30-miles-of-london/56138#56138"">this question</a>.  But usually.  </li><br/></ul><br/><br/><p><a href=""http://stackexchange.com/users/140824""><br/><img src=""http://stackexchange.com/users/flair/140824.png"" width=""208"" height=""58"" alt=""profile for Jaydles on Stack Exchange, a network of free, community-driven Q&A sites"" title=""profile for Jaydles on Stack Exchange, a network of free, community-driven Q&A sites""><br/></a></p><br/>",140824
16,Adam Lear,7,0,2016-08-19T17:53:26.533,https://i.stack.imgur.com/ZJCbe.jpg?s=128&g=1,,101,"New York, NY",33,0,2015-10-27T15:37:02.567,<br/><br/><p>Developer at Stack Overflow. Canadian working in the American idiom.</p><br/><br/><p>Previously:</p><br/><br/><ul><br/><li>elected moderator on Stack Overflow and Programmers SE</li><br/><li>community manager at Stack Overflow</li><br/></ul><br/><br/><p>Email me a link to your favorite Wikipedia article: <code>adam@stackoverflow.com</code>.</p><br/>,37099
17,Jin,3,0,2016-01-27T17:15:18.900,https://www.gravatar.com/avatar/70ad2c2830eb9a7753bd6312f3811e3e?s=128&d=identicon&r=PG,http://www.8164.org,101,"Raleigh, NC",40,0,2015-10-27T15:51:26.140,"<p>I design stuff for Stack Exchange. Also a professional bacon eater.</p><br/><br/><p>blog: <a href=""http://www.8164.org"" rel=""nofollow"">8164.org</a></p><br/><br/><p>twitter: <a href=""http://twitter.com/jzy"" rel=""nofollow"">@jzy</a></p><br/>",21721
18,Laura,8,0,2016-01-05T20:01:53.253,,,101,"New York, United States",,0,2015-10-27T16:19:58.010,"<p>Thinker, tinkerer, problem-solver, writer, traveler. Product manager emerita, Stack Overflow.</p><br/>",463263
19,Gabe,10,0,2016-08-17T18:46:54.690,https://i.stack.imgur.com/TORpj.png,,101,NY,31,0,2015-10-27T20:30:04.987,"<p>Metade Gerente de Comunidades, metade brasileiro, metade ruim de matemática.</p><br/><br/><p>Pode falar comigo se você discordar: <code>gkoscky@stackoverflow.com</code></p><br/><br/><p>===========================================================</p><br/><br/><p>Half Community Manager, half Brazilian, half not good with fractions.</p><br/><br/><p>Talk to me if you think one of those isn't true: <code>gkoscky@stackoverflow.com</code></p><br/>",5960
20,Carlos Muñoz,479,170,2016-09-03T21:32:37.690,,http://stackoverflow.com/users/186133/carlos-muoz,4597,"Lima, Peru",31,205,2015-10-28T21:24:53.730,<p>Ex IBMer.</p><br/><br/><p>Now in the web development world!</p><br/>,62733
21,jachguate,118,8,2016-09-02T22:37:41.520,,http://jachguate.wordpress.com,1814,Guatemala,41,191,2015-10-29T13:46:46.317,"<p>Entrepreneur, software developer and traveler. :)</p><br/><br/><p>¿Te gustaría que existiera <strong><a href=""http://area51.stackexchange.com/proposals/42810/stackoverflow-in-spanish?referrer=UCvpq888Myc9zlsUrCq6xg2"">StackOverflow en Español</a></strong>? </p><br/><br/><p><strong>Unete</strong> a la <a href=""http://area51.stackexchange.com/proposals/42810/stackoverflow-in-spanish?referrer=UCvpq888Myc9zlsUrCq6xg2"">propuesta para que exista</a> aquí en Area51.</p><br/>",93263
22,Flimzy,71,42,2016-09-03T21:41:24.887,https://www.gravatar.com/avatar/6bdc06836b7bcec9fce2c5c6e5242192?s=128&d=identicon&r=PG,http://verbally.flimzy.com,1042,,37,33,2015-10-29T14:49:59.587,"<p>Soy un desarrollador de software para <a href=""http://booking.com/"" rel=""nofollow"">Booking.com</a>. Soy estadounidense, pero ahora vivo en Ámsterdam.</p><br/><br/><p>Soy moderador ""Pro-Tem"" para <a href=""http://spanish.stackexchange.com/"">Spanish Language</a>.</p><br/>",7879
23,Konamiman,234,4,2016-09-03T16:45:09.773,https://i.stack.imgur.com/iqUR6.jpg?s=128&g=1,http://www.konamiman.com,1725,"Palma de Mallorca, Spain",42,357,2015-10-29T14:53:36.233,"<p><strong><em>Desarrollador en Stack Overflow</em></strong></p><br/><br/><p>Empecemos por lo importante: me encantan los <a href=""http://en.wikipedia.org/wiki/MSX"" rel=""nofollow"">ordenadores MSX</a> y el <a href=""https://en.wikipedia.org/wiki/Renault_Twingo#Twingo_I_.281993.E2.80.932007.29"" rel=""nofollow"">Renault Twingo clásico</a> (sólo el modelo 1993-2007; los modelos más nuevos son tan aburridos como cualquier otro coche).<br/></p><br/><br/><p>Y ahora la parte aburrida. Soy ingeniero de telecomunicaciones pero trabajo como programador, principalmente en C#. He hecho mucho desarrollo en Windows Forms en el pasado, también WPF y Silverlight, pero ahora estoy más metido en el desarrollo web (al principio sólo backend, pero ahora estoy en el mundo del frontend también).<br/></p><br/><br/><p><del>Cuando tengo tiempo libre me gusta</del> Cuando <em>tenía</em> tiempo libre me gustaba programar mi MSX Turbo-R en ensamblador de Z80. De hecho he desarrollado incluso <a href=""http://konamiman.com/msx/msx-s.html#inl"" rel=""nofollow"">una pila TCP/IP completa para MSX</a> (<a href=""https://bitbucket.org/konamiman/msx/src/cf8fc0cc652e1ff79b1a2fc657b2f10d4e0c72fb/SRC/INL/?at=default"" rel=""nofollow"">las fuentes están disponibles</a>, ¡échales un ojo!), que presenté como mi proyecto de final de carrera en la universidad, con muy buenos resultados.</p><br/><br/><p>Puedes ver mis proyectos de software aquí:<br/><br/><a href=""http://www.konamiman.com"" rel=""nofollow"">http://www.konamiman.com</a><br/><br/><a href=""http://bitbucket.org/konamiman"" rel=""nofollow"">http://bitbucket.org/konamiman</a></p><br/><br/><p>Y si quieres puedes escribirme: konamiman@stackoverflow.com</p><br/>",3201
24,Angel Angel,222,1,2016-06-03T07:45:31.030,https://i.stack.imgur.com/2uRSa.png,,3497,,,567,2015-10-29T17:15:22.197,,5172481
25,rnd,303,46,2016-09-04T00:41:11.210,,http://www.southworks.com,7949,"Lomas Del Mirador, Argentina",41,499,2015-10-29T17:32:30.253,,3035018
26,Lamak,21,4,2016-09-02T15:43:00.813,https://i.stack.imgur.com/DokIl.jpg?s=128&g=1,,488,Chile,35,2,2015-10-29T20:05:13.150,,245623
27,Agustin N. R. Ramirez,4,0,2016-02-09T21:56:54.930,https://i.stack.imgur.com/naJU7.jpg?s=128&g=1,http://www.axionline.info,8,Argentina,24,0,2015-10-29T21:05:56.220,,3942315
28,Equiso,47,19,2016-09-01T23:04:44.183,https://www.gravatar.com/avatar/2de44ded2e8f143cd4cc98914bc929db?s=128&d=identicon&r=PG,,2339,"Lima, Peru",30,34,2015-10-30T15:13:33.200,<p>¿Eso es bueno o malo?</p><br/>,115577
29,matiasmasca,5,0,2016-09-01T02:17:44.170,https://www.gravatar.com/avatar/064d3016db58b512fcb6cadb3129ad24?s=128&d=identicon&r=PG,http://www.comunidadtic.com.ar,123,Argentina,35,4,2015-10-30T16:04:42.010,"<p>Experimentologo. Hands-on troubleshooter. Software Craftsmanship. EmprendedorTech, apasionado con infinita curiosidad. Invítame a tomar Mate. Miembro de @ComunidadTIC</p><br/>",2521145
30,Juanjo Conti,1,0,2015-10-30T16:35:16.123,https://www.gravatar.com/avatar/8e0cd4c15482707c918697b8bab14c3f?s=128&d=identicon&r=PG,http://www.juanjoconti.com.ar,101,"Santa Fe, Argentina",32,0,2015-10-30T16:35:16.123,"<p>See my blog at: <a href=""http://www.juanjoconti.com.ar"" rel=""nofollow"">www.juanjoconti.com.ar</a></p><br/>",52707
32,learod,3,0,2015-10-31T15:13:13.143,https://www.gravatar.com/avatar/4c7dd7a9cc0b824c68054998f9aea213?s=128&d=identicon&r=PG,http://learod.com.ar,1,Argentina,,0,2015-10-30T18:02:58.800,"<p>Ruby, javascript an android developer</p><br/>",1348056
34,eloyesp,17,5,2016-06-26T01:24:08.820,https://www.gravatar.com/avatar/224f5b1b5ee448ec8152236ede91908c?s=128&d=identicon&r=PG,http://eloyesp.github.io,677,Argentina,,8,2015-10-30T19:03:05.877,,135145
35,yurivan,13,0,2016-06-03T20:32:10.130,https://i.stack.imgur.com/b86Vk.png,,98,,,3,2015-10-30T19:06:52.763,,2484626
36,Fermuch,3,0,2016-08-25T03:01:16.073,https://i.stack.imgur.com/9mCuU.png?s=128&g=1,,17,,,0,2015-10-30T19:25:22.627,,1175566
37,Gabriel C,8,0,2016-08-30T23:23:55.573,https://www.gravatar.com/avatar/7cd53533205a368f4bf2a8c04bbab7fd?s=128&d=identicon&r=PG,,155,,,4,2015-10-30T19:31:34.447,,2018360
38,el_guiye,2,0,2016-03-18T19:16:59.290,https://lh4.googleusercontent.com/-rdI5dM0NWYk/AAAAAAAAAAI/AAAAAAAAE4M/vzkNuC0ebug/photo.jpg?sz=128,http://soluciones-sid.com.ar/,1,Argentina,,0,2015-10-30T20:33:30.147,,7216206
39,Emanuel Friedrich,6,0,2015-10-31T13:11:27.597,https://lh4.googleusercontent.com/-H2lq8ytzs0M/AAAAAAAAAAI/AAAAAAAAAJU/WA5aQj089UI/photo.jpg?sz=128,,1,,,0,2015-10-31T13:11:27.597,,5733977
40,Juan Sebastian Scatularo,1,0,2015-10-31T14:20:53.447,https://www.gravatar.com/avatar/33143b5870ece06681f56bff5f266825?s=128&d=identicon&r=PG,,1,,,0,2015-10-31T14:20:53.447,,2285578
42,Johan Tique,2,0,2016-07-10T17:15:42.380,https://www.gravatar.com/avatar/f666db144d26280fb21a75e5b16a3cb6?s=128&d=identicon&r=PG,http://www.analisistem.com,1,,26,0,2015-10-31T19:06:23.320,,2311797
43,pochocosta,3,0,2015-10-31T22:14:45.270,https://www.gravatar.com/avatar/c190f4cda0c619c2c67a6a9dd93168ca?s=128&d=identicon&r=PG,,1,"Buenos Aires, Argentina",,0,2015-10-31T21:52:54.390,,1106685
45,Davlio,2,0,2016-05-17T04:34:58.450,https://i.stack.imgur.com/FYQrh.jpg?s=128&g=1,,1,,29,0,2015-11-01T16:50:14.267,,207654
46,jomarmen,4,0,2016-02-27T17:10:25.687,https://www.gravatar.com/avatar/9268429a078eaa65311b235359e4dda8?s=128&d=identicon&r=PG,,1,"Valencia, Spain",38,0,2015-11-02T12:47:10.100,,232386
48,user3567243,2,0,2015-11-02T14:02:06.790,https://graph.facebook.com/100000530241975/picture?type=large,,1,,,0,2015-11-02T13:09:23.627,,4373684
49,Gabriel Balbuena,4,0,2015-11-02T13:10:42.427,https://www.gravatar.com/avatar/19fb8db56e1e4738e8dae315a5a857c8?s=128&d=identicon&r=PG,,1,,,1,2015-11-02T13:10:42.427,,470090
52,pestequiel,2,0,2015-11-02T20:38:41.253,https://www.gravatar.com/avatar/50229a47e27b20203aec7e2dfbff7ad3?s=128&d=identicon&r=PG&f=1,,1,,,0,2015-11-02T20:05:32.573,,3775850
53,y34h,2,0,2015-12-15T20:15:52.520,https://www.gravatar.com/avatar/e0dc1a48c78f674138d296fcf271f214?s=128&d=identicon&r=PG,http://localhost,101,"Lima, Peru",31,0,2015-11-03T03:03:37.753,,194237
54,Chris Jester-Young,1,0,2016-05-24T04:41:31.293,,http://about.cky.nz/,101,"Raleigh, NC, United States",36,0,2015-11-03T11:31:01.943,<p>Expat Kiwi from Auckland. INFP. Totally facetious.</p><br/>,9
56,Walter Gerez,2,0,2016-04-26T17:15:03.263,https://lh5.googleusercontent.com/-9mjDNSS8Xfo/AAAAAAAAAAI/AAAAAAAABT8/8p1JHivlNKY/photo.jpg,,1,,,0,2015-11-03T14:18:34.213,,7234864
57,leolower,2,0,2015-12-06T12:50:40.937,https://www.gravatar.com/avatar/9853cba41efd53f75faf7d76c37cd3fe?s=128&d=identicon&r=PG,,1,,,1,2015-11-03T15:30:30.027,,1641090
58,Matias Punx,4,0,2016-06-09T16:01:48.890,https://www.gravatar.com/avatar/d6cf5c1f4806cd743b1a9c6eb21b2187?s=128&d=identicon&r=PG,http://wwwrockers.tumblr.com,11,"Buenos Aires, Argentina",34,1,2015-11-03T19:00:11.153,"<p>Punk rocker, Gamer, Bostero, Frontend Developer Jedi, Manager de Google Developer Group Argentina, Profe en @escueladevrock y Mentor en Programá tu futuro</p><br/>",2617962
59,hernanvicente,1,0,2016-06-14T21:30:21.617,https://www.gravatar.com/avatar/182757c8d4baebc5eb960251d7b983f1?s=128&d=identicon&r=PG,http://hernanvicente.com,101,"Munich, Germany",,0,2015-11-03T20:24:29.007,"<p>ruby on rails developer, <a href=""http://twitter/hernanvicente"" rel=""nofollow"">@hernanvicente</a></p><br/>",322847
60,Tim Post,1,0,2016-08-19T19:30:38.573,https://i.stack.imgur.com/cKhkz.jpg?s=128&g=1,https://keybase.io/tpost,101,"Mandaluyong, Philippines",41,5,2015-11-03T20:29:50.627,"<br/><br/><p>Hello there, curious passer-by! I'm Tim, and I work here. I'm the Director of Stack Overflow Communities. I head up efforts to help Stack Overflow stay healthy and grow, sometimes in different languages :)</p><br/><br/><p>If you need to reach me, I'm tpost@stackoverflow.com. </p><br/><br/><p><a href=""https://keybase.io/tpost"" rel=""nofollow"">My Public Key</a> | <a href=""https://twitter.com/tinkertim"" rel=""nofollow"">@tinkertim</a></p><br/>",20808
61,DennisCastro,2,0,2016-04-07T17:17:41.303,,,1,"Lima, Miraflores, Peru",,0,2015-11-03T20:32:55.970,,2016589
62,julionc,2,0,2015-11-04T02:54:15.190,https://www.gravatar.com/avatar/7830d66d23ea9d607178055ab8170224?s=128&d=identicon&r=PG,http://twitter.com/julionc,1,Earth,,0,2015-11-04T02:54:15.190,<p>I make web apps.</p><br/>,34103
63,user3907932,2,0,2015-11-05T00:37:29.670,https://www.gravatar.com/avatar/3e7046bd7ec7126e2ee9bfbca223056b?s=128&d=identicon&r=PG&f=1,,1,,,0,2015-11-04T21:52:25.770,,917799
64,Rodrigo Julián Martín,2,0,2015-11-05T01:15:31.793,https://www.gravatar.com/avatar/e3bc9bf34d2216825e0834817794d191?s=128&d=identicon&r=PG,,1,,,0,2015-11-05T01:15:31.793,,2180465
65,Rubén,47,17,2016-09-03T23:17:02.293,https://i.stack.imgur.com/qpQLM.gif?s=128&g=1,https://plus.google.com/113074074636564187023,610,"Monterrey, Mexico",46,54,2015-11-05T02:47:53.357,"<p>Trabajo en una universidad mexicana desde septiembre de 1996. De vez en cuando, busco ejemplos, macros, bookmarklets, fragmentos de código entre otras cosas en Internet. En el 2009 empecé a participar frecuentemente en los foros de ayuda de los productos de Google lo cual me a llevado a ser designado como Colaborador Principal en varios de ellos.</p><br/><br/><p>Ocasionalmente imparto talleres sobre las aplicaciones y sesiones Q&A para usuarios básicos e intermedios, principalmente enfocado a Google Apps for Education y por excecpión sobre Microsoft Office y Sharepoint.</p><br/><br/><p>Hace años realizaba con frecuencia macros para Microsoft Office, inclusive para extraer datos en combinación con Internet Explorer, También realicé algunos gadgets para Google Wave. Actualmente prefiero Google Apps Script y Chrome, pero cuando se requiere uso otras cosas.</p><br/>",1745021
66,Dennis,1,0,2015-11-12T21:17:06.650,https://i.stack.imgur.com/oqYo2.jpg?s=128&g=1,http://tryitonline.net,101,The Nineteenth Byte,,0,2015-11-12T21:17:06.650,"<p><img src=""http://stackexchange.com/users/flair/918086.png?theme=clean"" alt=""flair""></p><br/><br/><p>Elected moderator on <a href=""http://codegolf.stackexchange.com/"">Programming Puzzles & Code Golf</a>.</p><br/><br/><p>If I can help you with anything, don't hesitate to ping me (<code>@Dennis</code>) in <a href=""http://chat.stackexchange.com/rooms/240/the-nineteenth-byte"">The Nineteenth Byte</a>.</p><br/><br/><p>My PPCG masterpiece: <a href=""http://codegolf.stackexchange.com/a/51238"">Rearranging Words</a></p><br/>",918086
67,Pablo Nunez,6,0,2016-04-19T20:44:40.537,https://graph.facebook.com/10206843246056263/picture?type=large,,11,,,1,2015-11-17T21:01:55.723,,7316465
68,Steve Trout,1,0,2016-05-17T04:56:33.107,,,101,United States,29,0,2015-11-18T19:36:58.343,<p>Developer at Stack Overflow. A little too into programming languages. Thinks you're cool.</p><br/>,49748
69,javiercc,2,0,2015-11-21T16:23:14.083,https://www.gravatar.com/avatar/0ee4f7db1edc01ca3a00b71f3926d1f3?s=128&d=identicon&r=PG&f=1,,1,,,0,2015-11-21T16:23:14.083,,6378730
