Id,TagName,Count,WikiPostId,ExcerptPostId
354,osx,10,976,977
355,rss,2,974,975
358,windows-forms,65,1760,1761
359,latex,6,986,987
360,r,26,989,990
361,ggplot2,5,1044,1045
362,ms-access-2010,16,9790,9791
363,jersey,5,1209,1210
364,atmosphere,2,1108,1109
365,swagger,2,1103,1104
366,abap,2,2477,2478
367,poo,24,1067,1068
368,postgresql,48,1079,1080
369,rodbc,2,,
370,java-8,7,2368,2369
372,bigdecimal,2,,
373,redondeo,2,10027,10028
374,double,3,1611,1612
375,nuget,2,1396,1397
376,web2py,17,1669,1670
377,magento2,3,9812,9813
378,backbone,6,1382,1383
379,bootstrap,148,1535,1536
380,apache-poi,5,1189,1190
381,ssms,1,1191,1192
382,swift2,126,1582,1583
383,ofuscacion,1,1627,1628
384,tsql,7,1205,1206
386,azure-storage,2,1862,1863
388,sqlite3,13,1337,1338
389,bookmarklet,1,1254,1255
390,gmail,5,1256,1257
391,lista,19,1623,1624
394,windows,68,1675,1676
395,avd,3,1287,1288
396,firebird,9,1301,1302
397,facebook,24,2359,2360
398,internet-explorer-11,3,3158,3159
400,asp.net-mvc,122,1580,1581
401,yield,2,,
403,visual-studio-2010,6,5313,5314
404,wolfram-mathematica,1,1364,1365
405,thread,12,5263,5264
406,multitasking,2,1718,1719
407,underscorejs,4,1528,1529
409,jboss-eap,1,2932,2933
410,ember.js,1,1405,1406
411,corona,2,1400,1401
412,clojure,1,2417,2418
414,consola,12,1614,1615
415,proceso,5,7104,7105
416,paso-por-valor,3,5269,5270
417,paso-por-referencia,4,5265,5266
418,debian,14,1462,1463
419,ntfs,1,1514,1515
420,qt,8,1480,1481
421,jquery-datepicker,6,1561,1562
423,google-drive,6,1568,1569
424,asincrónico,3,1563,1564
425,couchdb,1,1638,1639
426,jdbc,6,1578,1579
427,firebase,24,2536,2537
428,meteor,8,1640,1641
430,cuenta-usuario,6,,
431,spring-mvc,22,1690,1691
432,seo,7,1636,1637
435,joomla3,13,2357,2358
436,sqlfiddle,4,5686,5687
439,jsf,56,1776,1777
440,primefaces,28,1856,1857
442,localización,5,1763,1764
443,base64,3,1837,1838
446,mysqli,71,2354,2355
447,motor-de-juego,6,9794,9795
448,xhtml,4,1896,1897
451,oracle-11g,18,1894,1895
452,codeigniter,53,4883,4884
453,codeigniter-3,24,7292,7293
455,jquery-mobile,11,1892,1893
456,makefile,3,1899,1900
457,ionic,56,2352,2353
460,visual-studio-2015,71,1938,1939
461,arduino,10,1940,1941
463,datatables,34,12996,12997
464,gstreamer,2,,
465,unity3d,28,1994,1995
466,eventos,12,5391,5392
467,dns,9,2350,2351
468,iana,1,17339,17340
470,2d,2,2145,2146
472,google-chrome,15,2366,2367
473,oauth,8,2043,2044
475,android-studio,116,2226,2227
477,clickonce,2,2047,2048
478,deployment,9,6301,6302
480,end-of-line,1,2348,2349
481,alfresco,2,2087,2088
482,ftp,9,2096,2097
484,jsfiddle,2,7927,7928
485,scss,2,9662,9663
486,uwp,16,2140,2141
487,celery,2,,
488,io,2,,
489,powershell,6,2137,2138
491,sass,3,2143,2144
493,gulp,7,3901,3902
494,gulp-sass,2,,
495,hapijs,1,2191,2192
498,gradle,20,2169,2170
499,operador,5,2206,2207
500,webgl,2,2364,2365
502,google-datastore,4,3654,3655
503,google-app-engine,12,3132,3133
504,objectify,2,3652,3653
505,constantes,2,4399,4400
506,tkinter,11,7102,7103
507,linq,45,2371,2372
508,apache,54,2346,2347
511,base-de-datos,77,5009,5010
512,dup,1,3363,3364
513,subversion,1,2413,2414
514,svn,1,2415,2416
515,parse.com,8,2421,2422
516,highcharts,13,2475,2476
518,azure-redis,2,,
519,split,4,,
521,entity-framework-6,23,2711,2712
522,ingeniería-inversa,1,7130,7131
524,binding,10,,
525,mvvm,9,2718,2719
526,swt,1,2744,2745
527,.htaccess,28,3025,3026
528,redirección,10,9801,9802
529,reescritura-url,5,9799,9800
530,mod-rewrite,6,9658,9659
531,pm2,1,3361,3362
532,pycharm,1,2773,2774
534,linq-to-sql,4,2713,2714
536,dbml,1,2776,2777
537,windows-installer,2,2930,2931
538,scala,3,2716,2717
539,internet-explorer,5,3156,3157
540,internet-explorer-9,1,15077,15078
542,sqlite,43,2724,2725
543,spring-security,7,2757,2758
544,windows10,9,2764,2765
546,conflictos,2,,
547,visual-studio-2013,11,2922,2923
548,revisión-de-código,30,2784,2785
550,google-visualization,2,,
552,angular-directivas,14,9998,9999
553,ecmascript-2015,4,2841,2842
554,c++98,2,16817,16818
555,express,14,2908,2909
556,gpg,1,2906,2907
558,intellij,6,2914,2915
559,javadoc,2,2903,2904
560,registro-windows,2,2935,2936
562,less,1,3481,3482
563,asp,18,2978,2979
564,midi,1,2982,2983
565,bundler,1,3598,3599
566,gemfile,2,3116,3117
568,filtros-css,2,,
569,d3.js,7,3016,3017
572,plsql,14,3106,3107
573,sqldeveloper,4,3154,3155
575,docker,3,3279,3280
576,lyx,1,3188,3189
577,iis,19,3108,3109
578,azul-zulu,1,3091,3092
579,drools,1,3104,3105
580,rabbit-mq,1,3204,3205
583,amcharts,1,4773,4774
584,geo-localizacion,8,7116,7117
585,java-9,1,3225,3226
587,spring-webflow,1,3258,3259
590,as400,2,5923,5924
594,jsp,45,3473,3474
595,cq5,2,,
596,aem,2,,
598,tinymce,5,4802,4803
599,pygame,2,3485,3486
601,ponyorm,2,3662,3663
602,bottle,1,5918,5919
603,test-ng,1,15625,15626
605,django-admin,10,5209,5210
606,django-forms,13,5220,5221
607,dialogo,5,,
608,tweepy,2,3538,3539
610,promises,1,3590,3591
611,symfony2,40,5315,5316
613,fullcalendar,4,3647,3648
614,internacionalización,4,7124,7125
615,calculo-relacional,1,3680,3681
617,rest,26,5271,5272
619,xstream,1,7092,7093
620,spring-tool-suite,3,4392,4393
622,aplicación-web,53,9635,9636
623,iron-router,2,,
625,swing,36,5498,5499
626,requirejs,2,3817,3818
627,babeljs,3,3860,3861
629,javafx,33,3862,3863
630,bootstrap-carousel,7,3833,3834
631,asterisk,1,3865,3866
632,lazarus,1,3881,3882
633,angularjs-2.0,13,3884,3885
634,pagejs,1,3904,3905
635,material-design-lite,5,3934,3935
638,jade,5,3987,3988
639,android-glide,3,3993,3994
640,zip,3,4395,4396
643,curl,11,4323,4324
644,mono,1,4077,4078
645,zepto,1,5142,5143
646,staticfiles,1,,
647,groovy,7,4149,4150
648,serialización,12,4191,4192
649,sailsjs,5,4188,4189
650,genymotion,3,5882,5883
651,jquery-tooltip,1,,
652,crystal-reports,8,4325,4326
653,twitter-api,11,4808,4809
654,wasync,1,4327,4328
655,ms-acces-2007,5,4390,4391
656,ensamblador,10,4388,4389
657,masm,1,4385,4386
658,selenium,3,4364,4365
660,angular-translate,1,,
661,xamarin,13,4425,4426
662,moodle,1,4461,4462
663,md5,1,4467,4468
664,encriptacion,12,4643,4644
665,jboss-as,1,,
666,jboss-cli,1,,
667,jboss-as-7,2,,
668,inyeccion-de-dependencias,2,4750,4751
670,libcurl,1,,
671,ngcookies,1,,
672,datepicker,10,6308,6309
673,libgdx,6,17117,17118
676,sync-framework,1,4748,4749
677,interop,2,,
678,genéricos,2,,
680,extjs,11,5135,5136
681,autocompletar,3,,
682,jquery-ui,4,5025,5026
683,jspdf,7,5020,5021
684,fecha,5,10031,10032
686,android-drawerlayout,3,,
687,drag-and-drop,3,5279,5280
688,agarrar-y-soltar,2,5277,5278
689,django-smart-selects,2,,
690,oauth2,7,5283,5284
692,formulas,3,5162,5163
693,stored-procedure,20,9639,9640
694,timespan,1,,
695,date,12,9642,9643
696,apache-commons-validator,1,,
697,irc,1,,
698,animación,6,5281,5282
699,pyqt,7,,
700,bluetooth,4,5275,5276
701,odoo,2,5912,5913
702,álgebra-relacional,1,7122,7123
703,prestashop,5,5688,5689
704,odata,1,15590,15591
705,apache-shiro,1,5388,5389
707,materialize,5,11631,11632
708,wso2,2,,
709,kerberos,2,5908,5909
710,java-stream,3,,
711,magento-1.9,1,9810,9811
712,eficiencia,1,15074,15075
715,angularjs-injector,3,,
716,hibernate-formula,1,,
717,richfaces,1,17013,17014
718,unreal-engine,1,5906,5907
719,wollok,1,5618,5619
720,soundpool,1,9817,9818
721,slack-api,1,9820,9821
722,árboles,1,7120,7121
723,árboles-binarios,1,5900,5901
724,webpack,1,5691,5692
725,wagtail,1,5694,5695
727,fail2ban,1,,
728,wireshark,1,5895,5896
729,twig,7,9870,9871
731,indices,4,,
733,autenticación,5,5793,5794
735,handlebars.js,1,5807,5808
737,plotly,1,5849,5850
738,reportviewer,6,5852,5853
739,lua,7,5860,5861
740,polymer,6,5879,5880
741,hashmap,5,5910,5911
742,map,11,5904,5905
743,bitmap,5,5898,5899
744,jquery-validate,8,6097,6098
745,mybatis,1,5986,5987
746,spritekit,2,17246,17247
747,rubygems,5,17151,17152
748,electron,3,5995,5996
749,google-plus,2,7126,7127
750,google+,3,7128,7129
751,grobid,1,,
752,grails,15,6299,6300
753,heroku,8,6623,6624
754,generator,1,,
755,coroutine,1,,
757,paypal,7,7114,7115
758,matlab,5,6089,6090
759,modulación,1,15102,15103
760,frecuencia,2,,
761,local-storage,6,6108,6109
762,jenkins,2,16011,16012
763,react-native,3,6189,6190
764,angular2-template,3,7075,7076
766,trigger,8,9652,9653
767,intel-xdk,4,6237,6238
768,subrepositorios,1,,
769,boxing,1,,
770,sobrecarga,5,,
771,mongoose,6,6372,6373
774,jasper-reports,12,15514,15515
775,diseño,9,9647,9648
776,windows-phone,14,9637,9638
777,typings,1,,
778,vscode,5,6415,6416
779,chartkick,1,,
781,android-viewpager,2,,
782,herencia,7,9645,9646
783,reflection,3,,
784,cabeceras-http,2,10038,10039
785,jackrabbit-oak,1,,
786,devexpress,18,13885,13886
787,adword,3,,
788,setinterval,1,,
789,odbc,3,7110,7111
790,xampp,10,9248,9249
792,liferay,1,,
795,ejb,9,9785,9786
796,atom-editor,1,7080,7081
797,openlayers,3,7094,7095
798,openlayers-3,2,,
799,zend,10,9808,9809
802,intellisence,1,,
803,extension-method,2,,
804,websocket,2,9365,9366
805,progressbar,2,,
806,coffeescript,3,7393,7394
807,pdo,8,9349,9350
808,cms,2,9173,9174
809,visual-c++,5,9806,9807
810,dev-c++,3,9781,9782
812,visual-basic-6,11,9649,9650
813,svg,9,9719,9720
814,django-migrations,1,,
815,zoom,2,17121,17122
816,viewport,2,10045,10046
817,scale,2,,
818,anotaciones,1,,
819,sencha-touch,2,,
820,anaconda,2,,
822,bitbucket,2,14891,14892
823,material-design,9,10111,10112
824,phonegap,13,19593,19594
825,wildfly,7,8136,8137
826,jmc,1,8138,8139
827,cmd,6,16106,16107
828,visual-studio-ts,1,8168,8169
829,transacciones,6,10040,10041
830,.htpasswd,1,10047,10048
831,picturebox,3,,
832,webbrowser,3,,
833,quicksort,1,15079,15080
834,ordenación,1,,
835,ngview,1,,
836,prolog,4,8576,8577
839,unity2d,7,16246,16247
840,preprocesador,1,16736,16737
841,glassfish,10,9341,9342
842,kinetic,1,,
843,opengraph,1,,
844,ng-cordova,6,8670,8671
845,recyclerview,9,,
846,lanterna,1,,
848,xamarin.forms,4,,
850,kivy,2,8891,8892
851,socket.io,1,8928,8929
852,vue.js,3,9664,9665
854,jqgrid,6,9804,9805
855,live-template,1,,
859,firefox,9,9296,9297
860,jsonp,2,9362,9363
863,tomcat,13,9711,9712
865,cucumber,1,17244,17245
867,x86,1,14449,14450
870,autofac,1,9932,9933
871,csv,10,9944,9945
872,ldap,4,14898,14899
873,openldap,1,16109,16110
874,google-play,10,10204,10205
875,gps,3,11188,11189
876,cython,1,10014,10015
877,crontab,3,,
878,ant,1,10198,10199
879,domain-driven-design,1,,
881,winapi,5,16718,16719
882,netcdf,1,,
883,netcdf4,1,,
884,lambda,3,20768,20769
885,inyección-sql,2,,
886,jersey2,2,,
888,pfsense,1,,
889,gpl,2,,
890,arcgis,1,11190,11191
891,julia,1,11079,11080
892,webservice,45,11097,11098
893,emmet,2,,
894,layout,5,15097,15098
895,profiler,1,15099,15100
896,foundation,1,11458,11459
897,ngroute,1,,
898,httpd,1,16605,16606
899,centos,2,15574,15575
900,wav,1,11604,11605
901,realm,3,11533,11534
903,android-widget,2,11688,11689
906,alertdialog,10,20576,20577
907,errores,16,21601,21602
908,stylus,1,12961,12962
911,laravel-4,5,20466,20467
912,gridview,7,20464,20465
913,android-sdk,7,20462,20463
915,jooq,1,17342,17343
916,mariadb,7,13227,13228
917,virtualbox,3,13310,13311
918,multichoice,1,,
919,pyinstaller,1,13524,13525
920,twitter,5,13877,13878
921,facebook-api,10,16707,16708
922,adfs,1,,
923,searchview,4,,
924,arrayadapter,2,,
925,jboss-5.x,1,,
926,powerbuilder,1,,
928,singlechoice,1,,
929,push-notification,7,14062,14063
930,sharedpreferences,3,,
931,promesas,3,13942,13943
932,markdown,1,13969,13970
933,union,1,,
934,xlrd,1,17123,17124
936,listview,7,20667,20668
937,edittext,3,,
938,android-fragment,1,,
939,scroll,5,,
943,formas,1,,
946,canvas,2,15056,15057
947,apache-spark,1,,
948,combobox,4,15572,15573
949,grid,5,,
950,jquery-seat-chart,1,,
951,log4j,1,14777,14778
952,spring-boot,7,14875,14876
953,alamofireimage,2,,
954,uitableviewcontroller,3,,
956,asm-pic,2,15064,15065
957,required,1,,
958,lang,1,,
959,rust,1,15277,15278
960,diagrama-de-flujo,1,,
961,uitableview,5,,
962,enum,2,15297,15298
963,template,2,15300,15301
964,validate,1,,
965,gtk,1,16402,16403
967,gui,6,,
968,mpdf,2,15409,15410
969,gif,3,15519,15520
970,app,9,22280,22281
971,docx,1,,
973,c++1z,1,15503,15504
974,c++-faq,1,15505,15506
975,estándares,1,15501,15502
976,google-places,1,,
977,sha512,1,16219,16220
978,div,3,15674,15675
979,accordion,1,17264,17265
980,iteraciones,2,,
981,login,5,,
982,android-jellybean,1,,
983,criptografía,1,,
984,firma-digital,2,,
985,desplegable,1,,
986,menu,6,,
987,atmel,3,,
988,tad,1,,
989,wikitude,1,17139,17140
990,smartgwt,5,15780,15781
991,whatsapp,3,17142,17143
992,c3.js,2,,
993,jupyter,1,,
994,ipython,1,,
995,uicollectionview,3,,
996,factorial,1,15828,15829
998,safari,2,17125,17126
1000,buscador,1,,
1002,mapsforge,2,16025,16026
1003,visual-basic,1,17164,17165
1004,constraints,1,,
1005,snapkit,1,,
1007,delphi-2010,1,,
1008,dbexpress,1,,
1009,webview,9,20459,20460
1010,scrapy,1,17160,17161
1011,adobe-muse,1,20488,20489
1012,goutte,1,,
1013,regsvr32,1,,
1014,mobiscroll,1,,
1017,db2,1,,
1018,oracle-sqldeveloper,1,,
1019,pdfmake,1,,
1020,css-transform,1,16667,16668
1021,volatile,1,17144,17145
1022,microservicios,1,,
1023,relative-layout,1,,
1024,back-button,1,,
1025,mobile,5,19581,19582
1026,vibracion,1,,
1027,aplicacion-web,3,21656,21657
1028,parsear,4,,
1030,webview-android,1,19584,19585
1031,arquitectura,2,,
1034,cast,1,,
1036,wordpress-theme,1,17137,17138
1037,medoo,1,,
1038,pic,3,,
1039,ccs,3,,
1040,primefaces-calendar,1,,
1041,querystring,2,,
1042,cocoapods,2,,
1043,jwt,2,,
1045,ksoap,1,,
1047,com-object,1,,
1048,ssrs,2,,
1049,digitalocean,1,,
1050,pascal,2,17348,17349
1051,video-adaptativo,1,17393,17394
1052,hls,1,17395,17396
1053,symfony3,2,,
1054,set,1,,
1055,uiview,1,,
1056,webforms,4,20511,20512
1058,aspnet,3,,
1059,response,1,,
1060,callback,2,19672,19673
1061,agregación,1,,
1062,aws,3,,
1063,aws-s3,1,,
1064,orm,3,,
1065,cil,1,18201,18202
1067,arm,2,21417,21418
1068,intel-atom,1,,
1069,mvc,15,19963,19964
1071,if-else,1,,
1072,mootools,1,19590,19591
1074,infobox,1,,
1075,namespace,1,,
1076,python-2.x,2,19586,19587
1077,joomla,1,20128,20129
1078,telnet,1,20584,20585
1079,aix,1,21415,21416
1080,management-studio,1,,
1081,websphere,2,20153,20154
1082,teoría,1,,
1083,ciencia-de-la-computación,1,,
1084,nw.js,1,,
1085,windows-mobile,5,20162,20163
1086,flask,1,,
1087,almacenamiento,1,,
1088,url,2,19998,19999
1089,instagram-api,3,,
1090,servidores,6,,
1092,dispatch-async,1,,
1093,cakephp,5,20498,20499
1094,blob,2,,
1095,descarga,1,21534,21535
1096,session,2,20948,20949
1098,ngresource,1,,
1099,restful,1,,
1100,google-play-games,2,21196,21197
1101,jxl,1,21248,21249
1102,nsdata,1,,
1103,nsstring,1,,
1104,qt-creator,3,21293,21294
1105,openerp,1,21305,21306
1106,pandas,1,,
1107,appdelegate,1,,
1108,alamofire,1,,
1109,data-atributos,1,,
1110,impresión,1,21496,21497
1111,entrada,1,21510,21511
1112,azure-sql,1,,
1113,ui.router,1,22112,22113
1114,websphere-mq,1,21726,21727
1115,boundary,1,,
1116,dapper,1,,
1117,luakit,1,,
1118,navegador-web,1,21853,21854
1119,vim,1,22275,22276
1120,programación-móvil,2,,
1121,gentoo,1,22266,22267
1122,brew,1,,
1123,woocommerce,1,21940,21941
1124,lenguaje-compilado,3,22263,22264
1125,gwt,1,22261,22262
1126,appcelerator,1,22229,22230
1127,cloud9,1,,
1128,appinventor,2,,
1129,wp-query,1,,
1130,framework7,1,,
1131,segue,1,,
1132,scanner,1,,
1133,node,1,,
